阿尔河	aar(n.);
憎恶者	abhorrer(n.)|abominator(n.);
厌恶者	abhorrer(n.);
持续	abidance(n.)|abiding(adj.)|abidingly(adv.)|continuance(n.)|[美]last(vi.)|perdurable(adj.)|persist(v.)|persistence(n.)|persistent(adj.)|presystence(n.)|standing(n.)|sustain(n.);
居住	abidance(n.)|dwell(vi.)|habitation(n.)|inhabit(vt.)|inhabitation(n.)|occupation(n.)|occupy(vt.);
遵守	abidance(n.)|abide|observance(n.)|observe(v.);
住在	abide;
保持	abide|carried(v.)|hold(n.)|keep(n.)|keep(n.)|keeping(n.)|preserve(v.)|remain(v.)|retentive(adj.);
等候	abide|await(vt.)|bide(v.)|wait(n.)|wait(v.)|waiting(n.);
忍受	abide|digest(v.)|have(vt.)|lump(v.)|stand(v.)|stood(v.)|suffer(v.)|swallow(v.)|undergo(v.);
持久	abiding(adj.)|endurance(n.)|endure(vt.)|enduring(adj.)|perdurable(adj.);
不变	abiding(adj.)|abidingly(adv.)|changeless(adj.)|constancy(n.)|constant(adj.)|constantly(adv.)|immutable(adj.)|invariable(adj.)|permanent(adj.)|permanently(adv.)|settled(adj.)|steadiness(n.)|steadystate(adj.)|unchangeable(adj.)|unvarying(adj.);
可能性	ability|chance(n.)|expectation(n.)|likelihood(n.)|possibility(n.)|potential(n.)|potentiality(n.)|presumption(n.)|probability(n.);
无生命	abio(pref.);
无机	abio(pref.)|inorganic(adj.);
镇静	abirritate(v.)|abirritative(adj.)|calmness(n.)|composing(adj.)|poise(n.)|sedate(adj.)|sedation(n.)|selfpossessed(adj.)|thalidomide(n.)|undisturbedly(adv.);
落魄	abject(adj.)|abjection(n.);
卑鄙	abject(adj.)|abjection(n.)|abjectly(adv.)|basely(adv.)|baseness(n.)|caddish(adj.)|contemptible(adj.)|despicable(adj.)|ignoble(adj.)|ignominious(adj.)|[俗]lousy(adj.)|miserable(adj.)|miserably(adv.)|pettily(adv.)|scurvy(adj.)|shabby(adj.)|shrewd(adj.)|sneaky(adj.)|snide(adj.)|turpitude(n.)|wretched(adj.);
不幸	abjective(adj.)|adverse(adj.)|adversely(adv.)|affliction(n.)|calamitous(adj.)|hapless(n.)|inauspicious(adj.)|misadventure(n.)|mischance(n.)|miserably(adv.)|misery(n.)|misfortune(n.)|mishap(n.)|poor(adj.)|sorrow(n.)|teen(n.)|unfortunate(adj.)|unfortunately(adv.)|unhappily(adv.)|unluckily(adv.)|untoward(adj.)|wretched(adj.)|wretchedness(n.);
悲惨	abjectly(adv.)|catastrophic(adj.)|deplorable(adj.)|dire(adj.)|disastrous(adj.)|disastrously(adv.)|fatally(adv.)|miserable(adj.)|miserably(adv.)|sadly(adv.)|touching(adj.)|tragic(adj.)|wretchedness(n.);
断绝	abjuration(n.);
使断奶	ablactate(v.)|wean(v.);
断奶	ablactation(n.);
喧哗	ablare(adj.)|din(v.)|hubbub(n.)|outcry(n.);
吵闹	ablare(adj.)|bobbery(adj.)|boisterously(adv.)|brouhaha(n.)|fray(n.)|knockabout(adj.)|loquacious(adj.)|loudly(adv.)|noisily(adv.)|noisy(adj.)|riproaring(adj.)|row(n.)|rowdedow(n.)|sound(n.)|tumultuous(adj.)|turbulent(adj.)|uproarious(adj.);
地	ablare(adj.)|ablush(adj.)|aboil(adj.)|[乐]accelerando(adj.)|adagissimo(adj.)|adrift(adj.)|afire(adj.)|aflame(adj.)|aflutter(adj.)|afoot(adj.)|aforehand(adj.)|afoul(adj.)|agaze(adj.)|agitato(adj.)|aglare(adj.)|agleam(adj.)|aglitter(adj.)|aglow(adj.)|agone(adj.)|agrin(adj.)|aheap(adj.)|ahum(adj.)|aleak(adj.)|alfresco(adj.)|alike(adj.)|allegretto(adj.)|alone(adj.)|alongshore(adj.)|amiss(adj.)|amuck(adj.)|andantino(adj.)|close(adj.);
切除	ablate(vt.)|abscission(n.)|ectomy|excise(vt.);
使融化	ablate(vt.);
摩损	ablate(vt.);
融化	ablate(vi.);
除去	ablation(n.)|eliminate(vt.)|elimination(n.)|removal(n.)|remove(v.)|riddance(n.);
烧起	ablaze(adj.);
炽燃	ablaze(adj.)|blazing(adj.);
可…	able;
能…	able;
失明	ablepsy(n.);
也许	ablings(adj.)|assumedly(adv.)|perhaps(adv.);
大概	ablings(adj.)|approximate(adj.)|assumably(adv.)|assumedly(adv.)|general(adj.)|generally(adv.)|maybe(n.)|perhaps(adv.)|presumably(adv.)|presumedly(adv.)|probably(adv.);
花开	abloom(adj.);
盛开灺	abloom(adj.);
洗涤	abluent(n.)|catharsis(n.)|scour(v.)|wash(v.);
洗涤剂	abluent(n.)|abstergent(v.)|[药]lotion(n.);
赧然	ablush(adj.);
脸红	ablush(adj.)|blowzed(adj.)|blush(n.)|blush(vi.)|redden(v.);
能干	ably(adv.)|capably(adv.)|clever(adj.);
巧妙	ably(adv.)|felicitous(adj.)|handily(adv.)|handiness(n.)|happy(adj.)|masterly(adj.)|skilled(adj.)|skillful(adj.)|skillfully(adv.)|slickness(n.)|subtly(adv.);
拒绝	abnegate(vt.)|abnegation(n.)|declination(n.)|decline(n.)|denial(n.)|exclude(vt.)|exclusion(n.)|negation(n.)|negative(adj.)|[美俚]nix(n.)|refusal(n.)|refuse(v.)|rejection(n.)|repudiate(v.)|repudiation(n.)|repulse(n.)|repulse(v.)|repulsion(n.)|turndown(n.);
於弃	abnegate(vt.)|abnegation(n.);
拒绝者	abnegator(n.)|traverser(n.);
弃权者	abnegator(n.);
异常	abnormal(adj.)|abnormalism(n.)|abnormally(adv.)|abnormity(n.)|anomalism(n.)|anomalistic(adj.)|prodigal(adj.)|prodigious(adj.)|singular(adj.);
变态	abnormal(adj.)|abnormally(adv.)|anomalism(n.)|anomalistic(adj.)|osis|transformation(n.);
变态性	abnormalism(n.);
反常性	abnormalism(n.);
反常	abnormality(n.)|[天]eccentric(adj.)|eccentricity(n.);
畸形	abnormality(n.)|abnormity(n.)|anamorphosis(n.)|deformity(n.)|malformation(n.)|malformed(adj.);
不规则	abnormality(n.)|abnormity(n.)|irregularity(n.);
例外	abnormally(adv.)|exception(n.)|exceptional(adj.)|exceptionally(adv.);
在船	aboard(adv.);
车	aboard(adv.);
飞机上	aboard(adv.);
住宅	abode(n.)|domicile(n.)|homestead(n.)|residence(n.)|residential(adj.);
家	abode(n.)|[喻]hearth(n.)|home(n.)|house(n.);
沸腾	aboil(adj.)|boil(v.)|boiling(n.)|boiling(adj.)|ebullient(adj.);
取消	abolish(vt.)|abolition(n.)|abrogate(vt.)|annulment(n.)|cancel(vt.)|cancellation(n.)|cancelled(v.)|[法]irritate(vt.)|nullify(vt.)|recall(n.)|recant(v.)|recision(n.)|rescind(v.)|retract(v.)|retraction(n.)|revocation(n.)|revocatory(adj.)|undoing(n.)|unsay(v.)|withdrawal(n.);
废除	abolish(vt.)|abolition(n.)|abrogate(vt.)|abrogation(n.)|cancellation(n.)|level(v.);
废止	abolishment(n.)|annihilate(v.)|annihilation(n.)|desuetude(n.)|repeal(n.)|rescind(v.)|revocation(n.)|revocatory(adj.)|revoke(v.);
撤废	abolishment(n.);
原子弹	abomb(n.);
恶劣	abominable(adj.)|badly(adv.)|[俗]execrable(adj.)|foul(adj.)|scurviness(n.)|vile(adj.);
可恶	abominably(adv.)|accursed(adj.)|accurst(adj.)|confound(vt.)|loathesome(adj.);
可恨	abominably(adv.)|hateful(adj.)|hatefully(adv.)|hatefulness(n.);
痛恨	abominate(vt.);
憎恨	abomination(n.)|animostiy(n.)|despite(n.)|hatred(n.)|phobe;
嫌恶者	abominator(n.);
离口侧	aborad(adv.);
对口侧	aborad(adv.);
离口	aboral(adj.)|aborally(adv.);
对口	aboral(adj.)|aborally(adv.);
原来	aboriginal(adj.)|aboriginially(adv.)|pristine(adj.)|quondam(adj.);
土着	aboriginal(adj.)|aboriginal(n.)|autochthon(n.)|autochthonism(n.)|native(adj.);
原住民	aboriginal(n.)|aborigines(n.);
土人	aborigines(n.)|autochthon(n.);
从最初	aboriginially(adv.);
流产	aborted(adj.)|abortion(n.)|abortive(adj.)|abortively(adv.)|miscarriage(n.)|miscarry(vi.);
早产	aborted(adj.)|abortive(adj.);
打胎	aborticide(n.);
堕胎药	aborticide(n.);
堕胎	abortion(n.);
夭折	abortion(n.);
失败	abortion(n.)|abortive(adj.)|abortively(adv.)|discomfiture(n.)|fail(n.)|fail(v.)|failure(n.)|[美俗]fizzle(n.)|[俗]frost(n.)|lose|loss(n.)|miss|reverse(n.);
流产儿	abortus(n.);
丰富	abound(vi.)|abounding(adj.)|abundance(n.)|abundant(adj.)|ample(adj.)|ampleness(n.)|copious(adj.)|exuberance(n.)|exuberant(adj.)|[牌戏]flush(adj.)|fullness(n.)|[美]gush(n.)|liberal(adj.)|plenteous(adj.)|plentiful(adj.)|plenty(n.)|plenty(adj.)|pregnancy(n.)|profuse(adj.)|profusion(n.)|prolifically(adv.)|richly(adv.)|richness(n.)|teeming(adj.)|thick(adv.)|wealth(n.)|wealthily(adv.);
充满	abound(vi.)|consume(v.)|fill(vt.)|[诗]fraught(adj.)|full(adj.)|fullness(n.)|instinct(adj.)|inundate(vt.)|inundation(n.)|occupy(vt.)|overflow(n.)|overflow(v.)|perfusion(n.)|pregnant(adj.)|replete(adj.)|repletion(n.)|suffuse(v.)|suffusion(n.)|teem(v.)|ulent;
大量	abounding(adj.)|catholicity(n.)|heap(n.)|lashing(n.)|[植]mint(n.)|much(n.)|much(adj.)|profusion(n.)|raft(n.)|scad(n.)|slather(n.);
关於	about(adv.)|anent(pre.)|concerning(pre.)|for(pre.)|ine|per(n.)|pertain(v.)|regarding(pre.)|respect(v.)|respecting(v.)|[古]thereof(adv.);
在周围	about(adv.)|around(pre.);
附近	about(adv.)|adjacent(adj.)|environs(n.)|[美]nearby(adj.)|vicinal(adj.);
大约	about(adv.)|anear(adv.)|approximately(adv.);
强风	[航]aboutship(v.);
大铁槌	aboutsledge(n.);
向後转	aboutturn(n.)|rightaboutface(n.);
率直	aboveboard(adj.)|artlessness(n.)|baldly(adv.)|baldness(n.)|bluffly(adv.)|bluffness(n.)|bluntly(adv.)|bluntness(n.)|candidly(adv.)|candor(n.)|demure(adj.)|frank(adj.)|frankly(adv.)|frankness(n.)|ingenuous(adj.)|plainly|pointed(adj.)|simplehearted(adj.)|simpleminded(adj.)|straightforward(adj.)|straightforwards(adv.)|straightness(n.)|unreserve(n.);
正大	aboveboard(adj.);
主卧房	abovestairs(n.);
磨蚀物	abradant(n.);
磨损	abradant(adj.)|abrarion(n.)|[地]abrasion(n.)|attrition(n.)|tatty(adj.)|worn(adj.)|wornout(adj.);
擦掉	abrade(v.)|erase(vt.)|scrape(n.)|scrape(v.);
擦伤	abrade(v.)|abrasion(n.);
磨石	abrader(n.)|abraser(n.)|grindstone(n.)|millstone(n.)|whetstone(n.);
无鳃	[动]abranchial(adj.);
磨去	abrase(v.);
擦去	abrase(v.)|absterge(v.)|expunge(vt.);
磨灭	abrasion(n.);
剥蚀	[地]abrasion(n.)|denude(vt.);
磨擦	abrasive(adj.)|chafe(n.);
金刚砂	abrasive(n.)|carborundum(n.)|corundum(n.);
使发泄	abreact(vt.);
并行	abreast(adv.);
并肩	abreast(adv.);
避难所	abri(n.)|harbor(n.)|haven(n.)|refuge(n.)|shelter(n.);
防空洞	abri(n.);
摘要	abridge(vt.)|abstraction(n.)|brief(n.)|compendious(adj.)|digest(n.)|epitome(n.)|outline(n.)|pemmican(n.)|precis(n.)|precis(v.)|summarization(n.)|summary(n.)|summary(adj.)|syllabus(n.)|synopsis(n.);
削夺	abridge(vt.);
删节	abridgment(n.)|cut(n.);
删节本	abridgment(n.);
满满	abrim(adj.);
在国外	abroad(adv.);
到国外	abroad(adv.);
突然	abrupt(adj.)|abruptness(n.)|incidentally(adv.)|slap(adv.)|spang(adv.)|sudden(n.)|sudden(adj.);
粗暴	abrupt(adj.)|bearish(adj.)|brusque(adj.)|brutal(adj.)|gruff(adj.)|rambunctious(adj.)|rampageous(adj.)|robustious(adj.)|rough(n.)|skimblescamble(adj.)|sultrily(adv.)|sultry(adj.)|wildness(n.);
陡的	abrupt(adj.);
断裂	[地]abrupt(adj.)|rupture(n.);
裂状	[植]abrupt(adj.);
分裂	abruption(n.)|cleavage(n.)|disruption(n.)|disunion(n.)|divide(v.)|division(n.)|kinesis|rend(v.)|rent(v.)|schism(n.)|scission(n.)|segment(v.)|split(n.);
分离	abruption(n.)|abstracted(adj.)|calve(v.)|detachment(n.)|discrete(adj.)|dissociate(vt.)|disunion(n.)|diverge(vi.)|divorce(n.)|parting(n.)|scission(n.)|secession(n.)|seclude(v.)|seeparate(v.)|segregate(adj.)|segregative(adj.)|separateness(n.)|separation(n.)|severance(n.)|split(v.)|sunder(v.)|ungroup(v.);
突然间	abruptly(adv.);
唐突	abruptly(adv.)|abruptness(n.)|plumply(adv.)|shortly(adv.);
脓疮	abscess(n.);
溃伤	abscess(n.)|[医]elcosis(n.);
切断	abscind(v.)|scission(n.)|sever(v.)|severance(n.);
割断	abscind(v.)|disconnect(vt.)|segmentation(n.);
分开	abscind(v.)|apart(adv.)|asunder(adv.)|detach(vt.)|disconnect(vt.)|disjoin(vt.)|seeparate(v.)|separate(n.)|separate(adj.)|separate(v.)|separately(adv.)|separateness(n.)|sequester(v.)|sequestrate(v.)|sever(v.)|split(v.)|uncouple(v.)|unstick(v.)|untuck(v.);
割去	abscind(v.);
脱落素	abscisin(n.);
离层素	abscisin(n.);
脱离	abscission(n.)|deviate(vi.)|pervet(v.)|renegade(adj.)|renegade(v.)|secession(n.)|sever(v.);
顿断法	abscission(n.);
逃亡	abscond(vi.)|abscondence(n.)|abskize(v.)|escapade(n.)|escape(n.)|fugitive(adj.);
潜逃	abscond(vi.)|absquatulation(n.);
潜逃者	abscondee(n.)|absquatulater(n.);
逃亡者	abscondee(n.)|deserter(n.)|runagate(n.);
失踪	abscondence(n.)|disappearance(n.)|missing(adj.);
出奔	abscondence(n.);
缺席	absence(n.)|absent(adj.)|absentation(n.)|nonattendance(n.);
缺少	absence(n.)|fail(v.)|scarcity(n.)|wanting(pre.);
缺乏	absent(adj.)|dearth(n.)|defect(n.)|deficiency(n.)|destitution(n.)|drought(n.)|failure(n.)|famine(n.)|lack(n.)|need(n.)|paucity(n.)|poorness(n.)|poverty(n.)|privation(n.)|scantiness(n.)|scantly(adv.)|scanty(adj.)|scarcity(n.)|shortage(n.)|skimp(adj.)|skimpy(adj.)|spareness(n.)|want(n.);
缺席者	absentee(n.);
矿课	absenteeism(n.);
矿工	absenteeism(n.)|miner(n.)|pitman(n.);
苦艾酒	absinthe(n.);
苦艾	absinthe(n.)|absinthium(n.);
苦艾素	absinthin(n.);
苦艾油	absinthium(n.);
逃脱	abskize(v.);
绝对	absolute(adj.)|absolutely(adv.)|absoluteness(n.)|categorical(adj.)|implicit(adj.)|positive(adj.)|positively(adv.)|sheer(adj.)|strict(adj.)|utter(adj.)|utterly(adv.);
完全	absolute(adj.)|absolutely(adv.)|absoluteness(n.)|altogether(adv.)|clean(adv.)|complete(adj.)|completely(adv.)|entire(adj.)|entirety(n.)|fairly(adv.)|full(n.)|full(adj.)|full(adv.)|fully(adv.)|perfectly(adv.)|perfectness(n.)|plenary(adj.)|plenitude(n.)|proper(adv.)|pure(adj.)|quite(adv.)|radically(adv.)|rightdown(adj.)|round(adj.)|sheer(adv.)|sheerly(adv.)|soundly(adv.)|spang(adv.)|thorough(adj.)|thoroughly(adv.)|totally(adv.)|totany(adv.)|utter(adj.)|utterly(adv.)|wholeness(n.)|wholewheat(adj.);
专制	absolute(adj.)|absoluteness(n.)|autocratically(adv.)|despotic(adj.)|despotism(n.);
确定	absolute(adj.)|affirm(v.)|ascertain(vt.)|confirmation(n.)|corroborate(vt.)|definitive(adj.);
独裁	absolutely(adv.)|authoritarian(adj.)|autocratically(adv.)|dictatorship(n.);
免除	absolution(n.)|dispense(vi.)|exemption(n.)|free(vt.)|immune(adj.)|immunity(n.)|quittance(n.)|remit(v.)|remittal(n.)|rid(v.)|waive(v.);
赦免	absolution(n.)|absolve(v.)|absolvent(adj.)|assoil(v.)|pardon(n.)|quittance(n.)|remittal(n.);
绝对化	absolutization(n.);
解除	absolve(v.)|quittance(n.)|relieve(v.)|unchain(v.);
赦免者	absolvent(n.);
吸收	absorb(vt.)|absorbing(adj.)|absorption(n.);
吞并	absorb(vt.);
吸收性	absorbability(n.)|absorptivity(n.);
入神	absorbedly(adv.)|carried(adj.);
吸收剂	[医]absorbefacient(n.);
吸收者	absorber(n.);
吸收体	absorber(n.);
吸收器	absorber(n.);
吸收比	absorptance(n.);
吸收计	absorptiometer(n.);
专心	absorption(n.)|close(adj.)|closely(adv.)|intent(adj.)|intently(adv.)|singleminded(adj.);
合并	absorption(n.)|amalgamate(v.)|amalgamation(n.)|amalgamative(adj.)|embody(vt.)|incorporate(v.)|incorporate(adj.)|incorporation(n.)|merge(v.)|merger(n.)|unite(v.);
吸收率	absorptivity(n.);
逃走	absquatulate(v.)|decamp(vi.)|escape(v.)|flee|skedaddle(n.);
溜掉	absquatulate(v.);
开小差	absquatulater(n.)|absquatulation(n.);
戒	abstain(vi.);
禁烟	abstain(vi.);
戒绝	abstention(n.);
克制	abstention(n.)|possess(v.)|restraint(n.);
洗净	absterge(v.)|abstergent(adj.)|abstersion(n.);
去垢	absterge(v.);
净化	absterge(v.)|abstersion(n.)|catharsis(n.)|decontaminate(vt.)|purgation(n.)|purgative(adj.)|purificatory(adj.)|refine(v.)|refined(v.)|spiritualization(n.)|sweeten(v.);
去污剂	abstergent(v.);
去垢物	abstersion(n.);
禁慾	abstinence(n.)|abstinency(n.)|abstinent(adj.)|mortification(n.);
戒酒	abstinence(n.);
节制	abstinency(n.)|moderation(n.)|refrain(v.)|sobriety(n.);
禁慾者	abstinent(n.);
抽象	abstract(adj.)|abstracted(adj.)|abstraction(n.)|abstractive(adj.)|abstractly(adv.)|wayout(adj.);
出神	abstraction(n.);
抽象派	[美]abstractionism(n.);
奥妙	abstruse(adj.)|profoundity(n.);
深奥	abstruse(adj.)|abstrusely(adj.)|abstrusity(n.)|deep(adj.)|profound(adj.)|profoundity(n.)|recondite(adj.);
难解	abstruse(adj.)|abstrusely(adj.)|abstrusity(n.)|crabbed(adj.)|cryptic|recondite(adj.);
不合理	absurdity(n.)|absurdness(n.);
荒谬	absurdity(n.)|ridiculous(adj.);
可笑	absurdity(n.)|derisive(adj.)|humorous(adj.)|laughing(adj.)|ridiculous(adj.);
荒唐	absurdness(n.)|fabulosity(n.)|ludicrous(adj.);
富裕	abundance(n.)|abundant(adj.)|affluence(n.)|affluent(adj.)|affluently(adv.)|opulence(n.)|opulent(adj.)|podded(adj.)|richly(adv.)|richness(n.)|welltodo(adj.);
滥用	abuse(vt.)|abuse(n.)|abusive(adj.)|abusively(adv.)|abusiveness(n.)|misuse(vt.);
虐待	abuse(vt.)|abuse(n.)|abusive(adj.)|abusively(adv.)|abusiveness(n.)|bedevil(v.)|maltreat(v.)|maul(vt.)|mistreat(v.)|misusage(n.)|misuse(vt.)|oppression(n.)|persecute(v.);
咒骂	abuse(vt.)|curse(v.)|execrate(v.)|swear(v.);
污蔑	abuse(n.)|decry(vt.);
骂人	abusive(adj.)|abusively(adv.)|abusiveness(n.);
忙碌	abustle(adj.)|busyness(n.)|pragmatic(adj.)|stirring(adj.);
邻接	abut(v.)|abutment(n.)|abuttal(n.)|abutting(n.)|adjacency(n.)|adjacent(adj.)|adjoin(v.)|adjoining(adj.)|border(v.)|contiguous(adj.)|neighbor(v.)|neighboring(adj.);
靠近	abut(v.)|anear(pre.)|anear(adj.)|anear(v.)|snuggle(v.);
白麻	abutilon(n.);
接合	abutment(n.)|cementation(n.)|coalescence(n.)|join(v.)|splice(n.)|splice(v.)|zygosis(n.);
支柱	abutment(n.)|ancon(n.)|brace(n.)|prop(n.)|stanchion(n.)|stilt(n.);
桥墩	abutment(n.)|pier(n.);
毗连	abuttal(n.)|abutting(n.)|adjacence(n.);
地界	abuttal(n.);
嘈杂	abuzz(adj.);
赎罪	aby(v.)|atonement(n.)|expiation(n.)|penance(n.)|piacular(adj.);
偿	aby(v.)|expiate(vt.);
赔	aby(v.);
深渊	abysm(n.)|abyssal(adj.)|gulf(n.);
